country,year,greenhouse_gas_emissions,renewables_share_energy,solar_electricity,wind_electricity,hydro_electricity
Morocco,2020,25.049999237060547,7.141504764556885,1.5199999809265137,4.590000152587891,1.2899999618530271
Morocco,2021,26.43000030517578,7.12645435333252,1.8200000524520876,5.110000133514404,1.2100000381469729
Morocco,2022,27.440000534057617,6.615607261657715,1.4500000476837158,5.360000133514404,0.6800000071525574
Morocco,2023,26.170000076293945,7.974160194396973,2.109999895095825,6.550000190734863,0.5199999809265137
Morocco,2024,25.299999237060547,8.673474311828613,1.590000033378601,9.329999923706056,0.6700000166893005
Netherlands,2000,47.58000183105469,0.8954774737358093,0.0099999997764825,0.8299999833106995,0.1400000005960464
Netherlands,2001,49.84999847412109,0.9577013850212096,0.0099999997764825,0.8299999833106995,0.1199999973177909
Netherlands,2002,50.9900016784668,1.149994730949402,0.0199999995529651,0.949999988079071,0.1099999994039535
Netherlands,2003,51.630001068115234,1.1242951154708862,0.0299999993294477,1.3200000524520874,0.0700000002980232
Netherlands,2004,52.18000030517578,1.452175855636597,0.0299999993294477,1.870000004768372,0.0900000035762786
Netherlands,2005,50.41999816894531,2.013442039489746,0.0399999991059303,2.069999933242798,0.0900000035762786
Netherlands,2006,49.869998931884766,2.2399110794067383,0.0399999991059303,2.740000009536743,0.1099999994039535
Netherlands,2007,52.84999847412109,2.340998649597168,0.0399999991059303,3.440000057220459,0.1099999994039535
Netherlands,2008,52.5099983215332,2.81652307510376,0.0399999991059303,4.260000228881836,0.1000000014901161
Netherlands,2009,54.68000030517578,3.323091506958008,0.0399999991059303,4.579999923706055,0.1000000014901161
Netherlands,2010,56.470001220703125,3.0386908054351807,0.0599999986588954,3.990000009536743,0.1000000014901161
Netherlands,2011,53.20000076293945,3.5456225872039795,0.1000000014901161,5.099999904632568,0.0599999986588954
Netherlands,2012,50.56999969482422,3.670233726501465,0.1899999976158142,4.980000019073486,0.1000000014901161
Netherlands,2013,50.34000015258789,3.610311508178711,0.4099999964237213,5.630000114440918,0.1099999994039535
Netherlands,2014,53.220001220703125,3.6512746810913086,0.7300000190734863,5.800000190734863,0.1099999994039535
Netherlands,2015,60.09999847412109,4.03118896484375,1.1100000143051147,7.550000190734863,0.0900000035762786
Netherlands,2016,59.77999877929688,4.1387152671813965,1.600000023841858,8.170000076293945,0.1000000014901161
Netherlands,2017,56.81999969482422,4.79465913772583,2.200000047683716,10.56999969482422,0.0599999986588954
Netherlands,2018,52.83000183105469,5.5051445960998535,3.7100000381469727,10.550000190734863,0.0700000002980232
Netherlands,2019,49.220001220703125,6.708576679229736,5.400000095367432,11.510000228881836,0.0700000002980232
Netherlands,2020,41.81999969482422,9.734892845153809,8.569999694824219,15.270000457763672,0.050000000745058
Netherlands,2021,42.54999923706055,11.4828519821167,11.300000190734863,18.040000915527344,0.0900000035762786
Netherlands,2022,39.060001373291016,14.41684627532959,16.65999984741211,21.399999618530277,0.050000000745058
Netherlands,2023,32.16999816894531,16.630290985107422,19.61000061035156,29.700000762939453,0.0700000002980232
Netherlands,2024,30.68000030517578,18.1192569732666,21.81999969482422,33.65999984741211,0.0900000035762786
New Zealand,2000,7.170000076293945,35.363868713378906,0.0,0.1199999973177909,24.190000534057617
New Zealand,2001,9.050000190734863,31.76673126220703,0.0,0.1400000005960464,21.459999084472656
New Zealand,2002,7.949999809265137,34.139434814453125,0.0,0.1500000059604644,24.6200008392334
New Zealand,2003,9.329999923706056,33.36553192138672,0.0,0.1500000059604644,23.38999938964844
New Zealand,2004,8.630000114440918,36.99028015136719,0.0,0.3600000143051147,26.96999931335449
New Zealand,2005,10.800000190734863,33.787330627441406,0.0,0.6100000143051147,23.09000015258789
New Zealand,2006,10.710000038146973,34.047080993652344,0.0,0.6200000047683716,23.34000015258789
New Zealand,2007,9.850000381469728,34.70124053955078,0.0,0.9200000166893004,23.399999618530277
New Zealand,2008,10.710000038146973,33.83557891845703,0.0,1.0499999523162842,22.1200008392334
New Zealand,2009,8.4399995803833,37.36172866821289,0.0,1.4600000381469729,23.979999542236328
New Zealand,2010,7.949999809265137,38.31135559082031,0.0,1.6200000047683716,24.479999542236328
New Zealand,2011,7.28000020980835,39.18678665161133,0.0,1.940000057220459,24.86000061035156
New Zealand,2012,8.670000076293945,36.69620513916016,0.0,2.059999942779541,22.670000076293945
New Zealand,2013,7.559999942779541,36.768856048583984,0.0099999997764825,2.0,22.799999237060547
New Zealand,2014,6.369999885559082,37.452274322509766,0.0199999995529651,2.190000057220459,24.06999969482422
New Zealand,2015,6.21999979019165,38.14311599731445,0.0399999991059303,2.3399999141693115,24.280000686645508
New Zealand,2016,4.940000057220459,38.81707763671875,0.0599999986588954,2.319999933242798,25.65999984741211
New Zealand,2017,5.760000228881836,37.08544921875,0.0799999982118606,2.069999933242798,24.93000030517578
New Zealand,2018,5.409999847412109,38.09751892089844,0.1000000014901161,2.049999952316284,26.030000686645508
New Zealand,2019,5.849999904632568,36.89973449707031,0.1299999952316284,2.2300000190734863,25.31999969482422
New Zealand,2020,6.159999847412109,39.27529144287109,0.1599999964237213,2.2799999713897705,24.030000686645508
New Zealand,2021,6.309999942779541,40.31645584106445,0.209999993443489,2.619999885559082,23.989999771118164
New Zealand,2022,4.920000076293945,43.2949333190918,0.2800000011920929,2.890000104904175,25.86000061035156
New Zealand,2023,4.570000171661377,42.26458740234375,0.3700000047683716,3.509999990463257,26.170000076293945
New Zealand,2024,5.320000171661377,42.55439376831055,0.3700000047683716,4.400000095367432,23.520000457763672
North America,2000,2617.989990234375,6.839948654174805,0.5199999809265137,6.059999942779541,676.7200317382812
North America,2001,2593.599853515625,6.15800142288208,0.5699999928474426,7.299999713897705,583.1499633789062
North America,2002,2633.27001953125,6.652377605438232,0.5799999833106995,11.070000648498535,645.719970703125
North America,2003,2682.60986328125,6.604067325592041,0.559999942779541,12.239999771118164,640.1500244140625
North America,2004,2710.81005859375,6.537386894226074,0.5999999642372131,15.420000076293944,641.8900146484375
North America,2005,2777.159912109375,6.784146785736084,0.5799999833106995,19.670000076293945,673.22998046875
North America,2006,2745.800048828125,7.099547863006592,0.5399999618530273,29.46000099182129,686.5900268554688
North America,2007,2835.3798828125,6.892038822174072,0.6500000357627869,38.040000915527344,655.9299926757812
North America,2008,2768.27001953125,7.589059352874756,0.9300000071525574,59.709999084472656,687.47998046875
North America,2009,2563.489990234375,8.193380355834961,1.0499999523162842,81.70999908447266,685.3800048828125
North America,2010,2691.719970703125,8.127830505371094,1.540000081062317,105.34000396728516,666.739990234375
North America,2011,2605.5,9.087244033813477,2.5,133.0399932861328,748.1699829101562
North America,2012,2505.139892578125,9.189114570617676,5.489999771118164,157.4600067138672,708.4099731445312
North America,2013,2515.809814453125,9.347920417785645,11.019999504089355,185.3000030517578,708.2300415039062
North America,2014,2519.030029296875,9.452917098999023,31.709999084472656,203.8199920654297,698.3200073242188
North America,2015,2419.119873046875,9.6947660446167,43.28999710083008,230.5,681.1799926757812
North America,2016,2338.52001953125,10.359278678894045,59.91999816894531,272.5400085449219,701.6400146484375
North America,2017,2255.10986328125,11.027421951293944,83.97999572753906,300.6300048828125,749.4299926757812
North America,2018,2304.280029296875,10.84511947631836,102.84000396728516,324.1600036621094,734.4199829101562
North America,2019,2190.64990234375,11.066317558288574,124.33000183105467,351.3900146484375,712.0899658203125
North America,2020,1991.7099609375,12.478161811828612,155.16000366210938,398.7900085449219,722.5499877929688
North America,2021,2082.429931640625,12.41107177734375,195.16000366210935,442.52001953125,696.6799926757812
